Wavelength,Average,Red,Green,Blue
519,130.,22.95,130.1,239.7
519.5,127.,20.4,130.1,234.6
520.1,132.,22.95,135.2,239.7
520.6,140.,28.05,145.3,244.8
521.1,147.,35.7,153,255
521.7,147.,35.7,155.5,252.4
522.2,142.,33.15,150.4,247.3
522.8,140.,30.6,147.9,242.3
523.3,140.,30.6,150.4,239.7
523.8,147.,40.8,160.7,247.3
524.4,155.,48.45,168.3,252.4
524.9,158.,48.45,170.9,252.4
525.5,153,45.9,170.9,247.3
526,153,43.35,170.9,244.8
526.5,153,43.35,173.4,244.8
527.1,153,40.8,175.9,244.8
527.6,155.,38.25,186.2,244.8
528.2,155.,35.7,188.7,244.8
528.7,155.,35.7,188.7,244.8
529.2,158.,38.25,193.8,247.3
529.8,163.,40.8,198.9,249.9
530.3,163.,43.35,201.5,249.9
530.9,165.,45.9,204,249.9
531.4,165.,43.35,204,247.3
531.9,165.,43.35,206.6,244.8
532.5,165.,45.9,209.1,244.8
533,168.,45.9,211.6,244.8
533.6,170.,48.45,216.8,247.3
534.1,173.,51,221.8,247.3
534.6,175.,53.55,227,249.9
535.2,181,58.65,229.5,255
535.7,183.,63.75,234.6,255
536.3,175.,61.2,229.5,237.2
536.8,178.,63.75,234.6,234.6
537.3,181,66.3,237.2,237.2
537.9,183.,68.85,239.7,239.7
538.4,186.,73.95,242.3,242.3
539,188.,76.5,249.9,242.3
539.5,191.,76.5,252.4,242.3
540,191.,76.5,252.4,239.7
540.6,188.,76.5,252.4,237.2
541.1,188.,76.5,252.4,234.6
541.7,188.,79.05,252.4,234.6
542.2,188.,79.05,252.4,232.1
542.7,186.,79.05,252.4,229.5
543.3,186.,79.05,252.4,227
543.8,188.,81.6,255,227
544.4,188.,86.7,255,229.5
544.9,191.,94.35,255,227
545.4,193.,99.45,255,227
546,193.,99.45,255,227
546.5,191.,99.45,255,224.4
547.1,191.,99.45,255,221.8
547.6,191.,99.45,255,216.8
548.1,191.,102,255,219.3
548.7,191.,104.5,255,216.8
549.2,191.,107.1,255,216.8
549.8,193.,109.6,255,216.8
550.3,193.,109.6,255,214.2
550.8,191.,109.6,255,211.6
551.4,193.,114.8,255,211.6
551.9,191.,114.8,255,209.1
552.5,191.,112.2,255,206.6
553,191.,114.8,255,206.6
553.5,191.,114.8,255,206.6
554.1,191.,114.8,255,204
554.6,188.,114.8,252.4,198.9
555.2,191.,117.3,255,201.5
555.7,191.,119.8,255,201.5
556.2,191.,122.4,255,198.9
556.8,193.,125,255,198.9
557.3,193.,125,255,198.9
557.9,193.,127.5,255,198.9
558.4,193.,127.5,255,196.3
558.9,193.,130.1,252.4,196.3
559.5,191.,130.1,252.4,193.8
560,191.,132.6,252.4,191.3
560.6,193.,137.7,252.4,193.8
561.1,196.,140.3,255,193.8
561.6,198.,145.3,255,196.3
562.2,201.,153,255,196.3
562.7,198.,153,255,193.8
563.3,198.,153,252.4,193.8
563.8,198.,153,252.4,193.8
564.3,201.,153,255,193.8
564.9,201.,155.5,255,193.8
565.4,201.,155.5,255,196.3
566,201.,155.5,255,196.3
566.5,201.,155.5,255,193.8
567,201.,155.5,255,193.8
567.6,201.,155.5,255,193.8
568.1,201.,155.5,255,196.3
568.7,204,158.1,255,196.3
569.2,204,158.1,255,196.3
569.7,204,158.1,255,196.3
570.3,201.,158.1,252.4,193.8
570.8,201.,155.5,252.4,193.8
571.4,198.,155.5,252.4,191.3
571.9,201.,155.5,255,193.8
572.4,201.,155.5,255,193.8
573,201.,155.5,255,193.8
573.5,201.,155.5,255,193.8
574.1,201.,155.5,255,196.3
574.6,201.,155.5,255,193.8
575.1,201.,155.5,255,193.8
575.7,201.,155.5,255,193.8
576.2,204,158.1,255,196.3
576.8,201.,158.1,255,193.8
577.3,201.,158.1,252.4,193.8
577.8,201.,158.1,255,193.8
578.4,201.,158.1,252.4,193.8
578.9,201.,158.1,255,193.8
579.5,201.,160.7,255,193.8
580,201.,160.7,255,191.3
580.5,201.,160.7,255,191.3
581.1,201.,160.7,255,191.3
581.6,201.,158.1,255,188.7
582.2,198.,158.1,255,188.7
582.7,198.,158.1,255,186.2
583.2,198.,158.1,255,183.6
583.8,198.,158.1,255,183.6
584.3,198.,158.1,255,181
584.9,196.,155.5,252.4,178.5
585.4,196.,155.5,252.4,178.5
585.9,196.,158.1,255,178.5
586.5,196.,158.1,255,178.5
587,196.,160.7,255,178.5
587.6,196.,163.2,255,175.9
588.1,196.,165.8,255,170.9
588.6,196.,168.3,252.4,168.3
589.2,196.,168.3,252.4,168.3
589.7,196.,165.8,255,168.3
590.3,196.,165.8,255,170.9
590.8,196.,165.8,255,170.9
591.3,196.,165.8,255,170.9
591.9,196.,165.8,255,170.9
592.4,196.,165.8,255,170.9
593,196.,165.8,255,170.9
593.5,198.,168.3,255,170.9
594,196.,168.3,255,168.3
594.6,196.,170.9,252.4,168.3
595.1,196.,170.9,252.4,168.3
595.6,198.,173.4,252.4,170.9
596.2,198.,175.9,255,170.9
596.7,196.,175.9,249.9,165.8
597.3,198.,178.5,252.4,165.8
597.8,198.,178.5,252.4,165.8
